ILCE,alan_metrekare
ŞİLE,15421.662027680477
EYÜPSULTAN,41116.31567989758
BEYKOZ,121.77809174557098
KARTAL,8868.522406647915
BEYKOZ,528.0616542807954
FATİH,3601.6040160322354
KARTAL,11393.752245556772
KAĞITHANE,40243.46460159495
BEYOĞLU,13268.928801977756
PENDİK,6408.668204763337
MALTEPE,17879.642978432654
ÜMRANİYE,301150.03539464227
ÜMRANİYE,11031.217695778221
SANCAKTEPE,9690.545398407168
ÜSKÜDAR,1692.4593829992568
ZEYTİNBURNU,10072.027310242223
KARTAL,311.89884371471777
ŞİLE,2535.5266018582106
BEŞİKTAŞ,72155.27815833109
EYÜPSULTAN,26467.42823817856
EYÜPSULTAN,22343.949970974372
BAŞAKŞEHİR,34223.290772455555
BAYRAMPAŞA,898.0513504037582
ÜMRANİYE,36867.483190476865
ŞİLE,444.87288133574447
PENDİK,676.3510168581089
ŞİLE,1871.4932781059088
KÜÇÜKÇEKMECE,10725.45846317353
SARIYER,5462.044602049948
ŞİLE,2423.9063809394042
BEYLİKDÜZÜ,39104.513242985005
PENDİK,27349.691542611763
BEYLİKDÜZÜ,11869.187722931305
ÜSKÜDAR,882.8406196554668
BAĞCILAR,18068.284279648295
BEYLİKDÜZÜ,11038.664120608717
ŞİLE,548.076213028376
GAZİOSMANPAŞA,7947.042220019218
SARIYER,345723.1542922361
FATİH,25341.666113119012
BEŞİKTAŞ,31190.838662840564
KADIKÖY,1866.3829720484164
MALTEPE,34495.59230331275
AVCILAR,32562.008932113065
ESENYURT,49428.60374450361
GÜNGÖREN,4261.791784984395
EYÜPSULTAN,22998.516997169692
ESENYURT,35005.223139384674
SARIYER,3693.0946793019157
BEYOĞLU,22894.687174134673
FATİH,27838.343599738157
KARTAL,15939.953437302644
BEYLİKDÜZÜ,25376.62353050281
PENDİK,46485.74337901753
BEYLİKDÜZÜ,5299.229013573339
KAĞITHANE,87599.10056221728
PENDİK,916.433894403915
PENDİK,6496.795842870104
ŞİLE,598.6668170125859
KARTAL,24331.580410684084
BEYKOZ,6385.335604075164
BAĞCILAR,2453.4240714486436
KARTAL,99794.52974003702
ÜMRANİYE,3632.0417145619103
BAŞAKŞEHİR,1234.4377297721992
BAKIRKÖY,18038.35561891338
ÇEKMEKÖY,1931.5878868127838
ÇEKMEKÖY,2238.4089283210665
KARTAL,202940.50492470924
ÜSKÜDAR,4411.065188290062
KAĞITHANE,14216.626093994975
PENDİK,262.5619359517026
PENDİK,528.6908598803969
BÜYÜKÇEKMECE,10452.60258885678
FATİH,90232.69846015339
ŞİŞLİ,2521.642361803848
ÜMRANİYE,11443.446903249487
EYÜPSULTAN,4404.94637944964
ŞİLE,352.5320768173118
SİLİVRİ,749880.1714439372
BEYOĞLU,4261.041125824713
ÇATALCA,90234.36501194199
ŞİLE,1617.8675240461273
KAĞITHANE,93081.37557688564
SARIYER,1296.556730798249
SARIYER,3855.3404365580777
