Durak Adı,İlçe
MASLAK YOLU,Sarıyer
YAHYA KEMAL DEREİÇİ,Kağıthane
HALİL RAHMAN,Kağıthane
HALİL RAHMAN CAMİİ,Kağıthane
İSTİNYE SİTELER,Sarıyer
GENÇ OSMAN CADDESİ,Kağıthane
KEÇİDERESİ,Kağıthane
ARMAĞAN SOKAK,Kağıthane
GÜR,Kağıthane
ÇAĞLAYAN YOKUŞU,Kağıthane
GALATASARAYLILAR SİT,Tuzla
VATAN CADDESİ,Tuzla
VATAN CADDESİ,Tuzla
VALİLER SİTESİ,Tuzla
VALİLER SİTESİ,Tuzla
DÖRTYOL,Tuzla
Y.KARADENİZLİLER KOP,Pendik
GÜL,Sarıyer
PAPATYA,Sarıyer
H.MEHMET ŞALGAMCI,Sarıyer
B.KEMAL ÇAĞLAR LİS.,Sarıyer
ŞİFA YOLU,Sarıyer
ORTA CAMİ,Sarıyer
BAŞARAN,Sarıyer
TOP SAHASI,Sarıyer
KÜÇÜK SOKAK,Sarıyer
METİN OKTAY,Sarıyer
OKUL,Sarıyer
E.MESLEK LİSESİ,Sancaktepe
SAMANDIRA LİSESİ,Sancaktepe
SAMANDIRA,Sancaktepe
SANCAKTEPE EMNİYET,Sancaktepe
PAZARYERİ,Ümraniye
TOPAĞACI,Ümraniye
PINARBAŞI İÖO,Ümraniye
ÜMR.BLD.DESTEK GRJ.,Ümraniye
KÜÇÜKSU CADDESİ,Ümraniye
KÜÇÜKSU CADDESİ,Ümraniye
DR.FAHRİ ATABEY CAD.,Üsküdar
DR.FAHRİ ATABEY CAD.,Üsküdar
HALİL RÜŞTÜ İÖOKL.,Üsküdar
GÜZELTEPE CAD.,Ümraniye
ÇEMENZAR,Kadıköy
GÖZTEPE,Kadıköy
ADNAN KAHVECİ,Kartal
ADNAN KAHVECİ,Kartal
20. Cad.,Bağcılar
20. Cad.,Bağcılar
ÇEŞME,Bağcılar
Namık Kemal Cad.,Bağcılar
Başöğretmen Cad.,Maltepe
Atatürk Cad.,Maltepe
MARMARA CADDESİ,Güngören
Ayazma Cad.,Güngören
BAĞLAR MEYDAN,Arnavutköy
SAĞLIK OCAĞI,Arnavutköy
KOCATAŞ SK.,Sarıyer
KÜLTÜR EVİ,Başakşehir
DÖRTYOL,Başakşehir
KEMER YOLU,Eyüpsultan
MANDIRALAR,Eyüpsultan
MANDIRALAR,Eyüpsultan
ROLE İSTASYONU,Eyüpsultan
KEMER,Eyüpsultan
RAGIP KUTMANGİL İÖO.,Eyüpsultan
KEMERBURGAZ,Eyüpsultan
KEMERBURGAZ,Eyüpsultan
BAHÇELER,Eyüpsultan
BAHÇELER,Eyüpsultan
YEŞİLPINAR BÖLGE PAR,Eyüpsultan
İNÖNÜ CADDESİ,Güngören
SAADETDERE MAH.,Esenyurt
EVREN MAHALLESİ,Bağcılar
MIZRAK SOKAK,Güngören
BİZİMKENT,Beylikdüzü
HAZNEDAR,Güngören
DENİZKÖŞKLER MAHALLE,Avcılar
İETT KAMPI,Avcılar
Hatboyu Cad.,Tuzla
Tahaffuzhane Cad.,Tuzla
Hilal Cad.,Pendik
Yayalar Cad.,Pendik
Yayalar Cad.,Pendik
Aralık Başı Sk.,Bakırköy
Fırın Sk.,Bakırköy
Koşuyolu Cad.,Bakırköy
Kalyon Sk.,Büyükçekmece
İSTEK VAKFI,Sultangazi
MESCİDİ SELAM CAMİİ,Sultangazi
CEBECİ MAHALLESİ,Sultangazi
ÇAMLIKTEPE,Arnavutköy
ÇİLİNGİR,Arnavutköy
SANTRAL,Ümraniye
