Durak Adı,İlçe
KONUT TAKSİ DURAĞI,Silivri
SELİMPAŞA MERKEZ TAKSİ,Silivri
SELİMPAŞA DURAK TAKSİ,Silivri
CELALİYE MEYDAN TAKSİ,Büyükçekmece
SILIVRI MARIN PRENSES TAKSI,Büyükçekmece
BÜYÜKÇEKMECE MERKEZ TAKSİ DURAĞI,Büyükçekmece
ALBATROS TAKSİ DURAĞI,Büyükçekmece
GÜRPINAR MERKEZ TAKSİ DURAĞI,Beylikdüzü
KIRAÇ MERKEZ TAKSİ DURAĞI,Esenyurt
TUZLA İÇMELER MERKEZ TAKSİ DURAĞI,Tuzla
SAHİL TAKSİ DURAĞI,Tuzla
TUZLA İSTASYON TAKSİ,Tuzla
AYDINLI KÖYÜ TAKSİ DURAĞI,Tuzla
ŞİFA TAKSİ DURAĞI,Tuzla
Haznedar,Bahçelievler
ÖZ ORTAKÖY TAKSİ,Beşiktaş
İSPARK SÖĞÜTLÜÇEŞME,Kadıköy
ÇAVUŞOĞLU TAKSİ DURAĞI,Beşiktaş
2.ULUS TURİZM TAKSİ DURAĞI(BEŞİKTAŞ TURİZM)),Beşiktaş
HACIOSMAN TAKSİ DURAĞI,Sarıyer
UMUT TAKSİ DURAĞI,Beşiktaş
TARABYA BAYIRI UMUMA AÇIK TAKSİ DURAĞI,Sarıyer
FISTIKAĞACI TAKSİ DURAĞI,Üsküdar
ÖZ ULUS TAKSİ II.,Beşiktaş
1. ULUS TAKSİ DURAĞI,Beşiktaş
KUŞDİLİ CADDESİ UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
SARIYER GAZETECİLER SİTESİ TAKSİ DURAĞI,Sarıyer
ALKENT TAKSİ,Beşiktaş
ULUS PARK TAKSİ DURAĞI,Beşiktaş
MEGA TAKSİ,Sarıyer
KOŞU YOLU BARBOROS TAKSİ DURAĞI,Kadıköy
İSPARK SÖĞÜTLÜ ÇEŞME METROBÜS,Kadıköy
DOĞAN TAKSİ DURAĞI,Beşiktaş
GAR TAKSİ DURAĞI YENİ-2,Pendik
ACIBADEM YILDIZ TAKSİ,Üsküdar
ACIBADEM UMUMA AÇIK TAKSİ DURAĞI,Üsküdar
CUMHURİYET TAKSİ DURAĞI,Esenyurt
İSPARK Ragıp Gümüşpala Caddesi,Fatih
İSPARK - EMİNÖNÜ  PERONLAR UMUMA AÇIK TAKSİ DURAĞI,Fatih
BEYLİKDÜZÜ İSTANBUL EVLERİ SİTESİ TAKSİ DURAĞI,Esenyurt
İSPARK NUH KUYUSU CAD.(ASLI BÖREK ÖNÜ),Üsküdar
KAYA RAMADA OTEL TAKSİ,Büyükçekmece
İSPARK ALEMDAĞ ÜMRANİYE AVM ÖNÜ,Ümraniye
Gardenya,Bağcılar
İSPARK SU-İŞ CAD.TAKSİ,Ümraniye
HİLAL TAKSİ,Fatih
GÜNEŞTEPE TAKSİ DURAĞI,Güngören
CİHANGİR TAKSİ DURAĞI,Beyoğlu
KARDİYUM TAŞDELEN TAKSİ,Çekmeköy
Akyol Taksi,Beyoğlu
KUZGUNCUK TAKSİ,Üsküdar
AÇELYA TAKSİ,Küçükçekmece
Aynalıkavak Taksi,Beyoğlu
BEŞİKTAŞ BARBAROS BULVARI,Beşiktaş
MİSS TAKSİ,Küçükçekmece
NİŞANTAŞI ÜNİVERSİTESİ SADABAD KAMPÜSÜ (HASBAHÇE PLUS) TAKSİ,Kağıthane
SOĞANLIK MERKEZ TAKSİ,Kartal
ÇIRAĞAN TAKSİ 2,Beşiktaş
ŞEHZADEBAŞI TAKSİ,Fatih
AK TAKSİ,Esenyurt
ASLANTEPE TAKSİ,Sarıyer
KARTAL BİRLİK TAKSİ,Kartal
ZORLU CENTER TAKSİ,Beşiktaş
MEGA 2 (ADLİYE ESKİ ADI) TAKSİ BAĞCILAR,Bağcılar
KADIKÖY METRO TAKSİ,Kadıköy
KAPTAN TAKSİ,Kadıköy
GEÇİT TAKSİ DURAĞI,Büyükçekmece
MEYDAN İSTANBUL AVM TAKSİ,Ümraniye
YUNUS EMRE TAKSİ,Ümraniye
İSTANBUL DERİ ORGANİZE SANAYİİ TAKSİ,Tuzla
CİTYS NİŞANTAŞI AVM TAKSİ,Şişli
